Price Type,Net Type,Validity,MB Start,MB End,Voice Start,Voice End,Price,Market Price
APPM,Onnet,1,4,9,900,999,0.3,1.26
APPM,Onnet,1,4,9,1000,1499,0.3,1.26
APPM,Onnet,1,4,9,1500,1999,0.3,1.26
APPM,Onnet,1,4,9,2000,,0.3,1.26
,,,,,,,,
APPM,Onnet,1,10,14,0,4,0.36,1.26
APPM,Onnet,1,10,14,5,9,0.36,1.26
APPM,Onnet,1,10,14,10,14,0.36,1.26
APPM,Onnet,1,10,14,15,19,0.36,1.26
APPM,Onnet,1,10,14,20,24,0.36,1.26
APPM,Onnet,1,10,14,25,29,0.33,1.26
APPM,Onnet,1,10,14,30,39,0.33,1.26
APPM,Onnet,1,10,14,40,49,0.33,1.26
APPM,Onnet,1,10,14,50,59,0.3,1.26
APPM,Onnet,1,10,14,60,69,0.3,1.26
APPM,Onnet,1,10,14,70,79,0.3,1.26
APPM,Onnet,1,10,14,80,89,0.3,1.26
APPM,Onnet,1,10,14,90,99,0.3,1.26
APPM,Onnet,1,10,14,100,149,0.3,1.26
APPM,Onnet,1,10,14,150,199,0.3,1.26
APPM,Onnet,1,10,14,200,249,0.3,1.26
APPM,Onnet,1,10,14,250,299,0.3,1.26
APPM,Onnet,1,10,14,300,349,0.3,1.26
APPM,Onnet,1,10,14,350,399,0.3,1.26
APPM,Onnet,1,10,14,400,449,0.3,1.26
APPM,Onnet,1,10,14,450,499,0.3,1.26
APPM,Onnet,1,10,14,500,599,0.3,1.26
APPM,Onnet,1,10,14,600,699,0.3,1.26
APPM,Onnet,1,10,14,700,799,0.3,1.26
APPM,Onnet,1,10,14,800,899,0.3,1.26
APPM,Onnet,1,10,14,900,999,0.3,1.26
APPM,Onnet,1,10,14,1000,1499,0.3,1.26
APPM,Onnet,1,10,14,1500,1999,0.3,1.26
APPM,Onnet,1,10,14,2000,,0.3,1.26
,,,,,,,,
APPM,Onnet,1,15,19,0,4,0.36,1.26
APPM,Onnet,1,15,19,5,9,0.36,1.26
APPM,Onnet,1,15,19,10,14,0.36,1.26
APPM,Onnet,1,15,19,15,19,0.36,1.26
APPM,Onnet,1,15,19,20,24,0.36,1.26
APPM,Onnet,1,15,19,25,29,0.33,1.26
APPM,Onnet,1,15,19,30,39,0.33,1.26
APPM,Onnet,1,15,19,40,49,0.33,1.26
APPM,Onnet,1,15,19,50,59,0.3,1.26
APPM,Onnet,1,15,19,60,69,0.3,1.26
APPM,Onnet,1,15,19,70,79,0.3,1.26
APPM,Onnet,1,15,19,80,89,0.3,1.26
APPM,Onnet,1,15,19,90,99,0.3,1.26
APPM,Onnet,1,15,19,100,149,0.3,1.26
APPM,Onnet,1,15,19,150,199,0.3,1.26
APPM,Onnet,1,15,19,200,249,0.3,1.26
APPM,Onnet,1,15,19,250,299,0.3,1.26
APPM,Onnet,1,15,19,300,349,0.3,1.26
APPM,Onnet,1,15,19,350,399,0.3,1.26
APPM,Onnet,1,15,19,400,449,0.3,1.26
APPM,Onnet,1,15,19,450,499,0.3,1.26
APPM,Onnet,1,15,19,500,599,0.3,1.26
APPM,Onnet,1,15,19,600,699,0.3,1.26
APPM,Onnet,1,15,19,700,799,0.3,1.26
APPM,Onnet,1,15,19,800,899,0.3,1.26
APPM,Onnet,1,15,19,900,999,0.3,1.26
APPM,Onnet,1,15,19,1000,1499,0.3,1.26
APPM,Onnet,1,15,19,1500,1999,0.3,1.26
APPM,Onnet,1,15,19,2000,,0.3,1.26
,,,,,,,,
APPM,Onnet,1,20,24,0,4,0.34,1.26
APPM,Onnet,1,20,24,5,9,0.34,1.26
APPM,Onnet,1,20,24,10,14,0.34,1.26
APPM,Onnet,1,20,24,15,19,0.34,1.26
APPM,Onnet,1,20,24,20,24,0.34,1.26
APPM,Onnet,1,20,24,25,29,0.31,1.26
APPM,Onnet,1,20,24,30,39,0.31,1.26
APPM,Onnet,1,20,24,40,49,0.31,1.26
APPM,Onnet,1,20,24,50,59,0.28,1.26
APPM,Onnet,1,20,24,60,69,0.28,1.26
APPM,Onnet,1,20,24,70,79,0.28,1.26
APPM,Onnet,1,20,24,80,89,0.28,1.26
APPM,Onnet,1,20,24,90,99,0.28,1.26
APPM,Onnet,1,20,24,100,149,0.28,1.26
APPM,Onnet,1,20,24,150,199,0.28,1.26
APPM,Onnet,1,20,24,200,249,0.28,1.26
APPM,Onnet,1,20,24,250,299,0.28,1.26
APPM,Onnet,1,20,24,300,349,0.28,1.26
APPM,Onnet,1,20,24,350,399,0.28,1.26
APPM,Onnet,1,20,24,400,449,0.28,1.26
APPM,Onnet,1,20,24,450,499,0.28,1.26
APPM,Onnet,1,20,24,500,599,0.28,1.26
APPM,Onnet,1,20,24,600,699,0.28,1.26
APPM,Onnet,1,20,24,700,799,0.28,1.26
APPM,Onnet,1,20,24,800,899,0.28,1.26
APPM,Onnet,1,20,24,900,999,0.28,1.26
APPM,Onnet,1,20,24,1000,1499,0.28,1.26
APPM,Onnet,1,20,24,1500,1999,0.28,1.26
APPM,Onnet,1,20,24,2000,,0.28,1.26
,,,,,,,,
APPM,Onnet,1,25,29,0,4,0.34,1.26
APPM,Onnet,1,25,29,5,9,0.34,1.26
APPM,Onnet,1,25,29,10,14,0.34,1.26
APPM,Onnet,1,25,29,15,19,0.34,1.26
APPM,Onnet,1,25,29,20,24,0.34,1.26
APPM,Onnet,1,25,29,25,29,0.31,1.26
APPM,Onnet,1,25,29,30,39,0.31,1.26
APPM,Onnet,1,25,29,40,49,0.31,1.26
APPM,Onnet,1,25,29,50,59,0.28,1.26
APPM,Onnet,1,25,29,60,69,0.28,1.26
APPM,Onnet,1,25,29,70,79,0.28,1.26
APPM,Onnet,1,25,29,80,89,0.28,1.26
APPM,Onnet,1,25,29,90,99,0.28,1.26
APPM,Onnet,1,25,29,100,149,0.28,1.26
APPM,Onnet,1,25,29,150,199,0.28,1.26
APPM,Onnet,1,25,29,200,249,0.28,1.26
APPM,Onnet,1,25,29,250,299,0.28,1.26
APPM,Onnet,1,25,29,300,349,0.28,1.26
APPM,Onnet,1,25,29,350,399,0.28,1.26
APPM,Onnet,1,25,29,400,449,0.28,1.26
APPM,Onnet,1,25,29,450,499,0.28,1.26
APPM,Onnet,1,25,29,500,599,0.28,1.26
APPM,Onnet,1,25,29,600,699,0.28,1.26
APPM,Onnet,1,25,29,700,799,0.28,1.26
APPM,Onnet,1,25,29,800,899,0.28,1.26
APPM,Onnet,1,25,29,900,999,0.28,1.26
APPM,Onnet,1,25,29,1000,1499,0.28,1.26
APPM,Onnet,1,25,29,1500,1999,0.28,1.26
APPM,Onnet,1,25,29,2000,,0.28,1.26
,,,,,,,,
APPM,Onnet,1,30,34,0,4,0.34,1.26
APPM,Onnet,1,30,34,5,9,0.34,1.26
APPM,Onnet,1,30,34,10,14,0.34,1.26
APPM,Onnet,1,30,34,15,19,0.34,1.26
APPM,Onnet,1,30,34,20,24,0.34,1.26
APPM,Onnet,1,30,34,25,29,0.31,1.26
APPM,Onnet,1,30,34,30,39,0.31,1.26
APPM,Onnet,1,30,34,40,49,0.31,1.26
APPM,Onnet,1,30,34,50,59,0.28,1.26
APPM,Onnet,1,30,34,60,69,0.28,1.26
APPM,Onnet,1,30,34,70,79,0.28,1.26
APPM,Onnet,1,30,34,80,89,0.28,1.26
APPM,Onnet,1,30,34,90,99,0.28,1.26
APPM,Onnet,1,30,34,100,149,0.28,1.26
APPM,Onnet,1,30,34,150,199,0.28,1.26
APPM,Onnet,1,30,34,200,249,0.28,1.26
APPM,Onnet,1,30,34,250,299,0.28,1.26
APPM,Onnet,1,30,34,300,349,0.28,1.26
APPM,Onnet,1,30,34,350,399,0.28,1.26
APPM,Onnet,1,30,34,400,449,0.28,1.26
APPM,Onnet,1,30,34,450,499,0.28,1.26
APPM,Onnet,1,30,34,500,599,0.28,1.26
APPM,Onnet,1,30,34,600,699,0.28,1.26
APPM,Onnet,1,30,34,700,799,0.28,1.26
APPM,Onnet,1,30,34,800,899,0.28,1.26
APPM,Onnet,1,30,34,900,999,0.28,1.26
APPM,Onnet,1,30,34,1000,1499,0.28,1.26
APPM,Onnet,1,30,34,1500,1999,0.28,1.26
APPM,Onnet,1,30,34,2000,,0.28,1.26
,,,,,,,,
APPM,Onnet,1,35,39,0,4,0.34,1.26
APPM,Onnet,1,35,39,5,9,0.34,1.26
APPM,Onnet,1,35,39,10,14,0.34,1.26
APPM,Onnet,1,35,39,15,19,0.34,1.26
APPM,Onnet,1,35,39,20,24,0.34,1.26
APPM,Onnet,1,35,39,25,29,0.31,1.26
APPM,Onnet,1,35,39,30,39,0.31,1.26
APPM,Onnet,1,35,39,40,49,0.31,1.26
APPM,Onnet,1,35,39,50,59,0.28,1.26
APPM,Onnet,1,35,39,60,69,0.28,1.26
APPM,Onnet,1,35,39,70,79,0.28,1.26
APPM,Onnet,1,35,39,80,89,0.28,1.26
APPM,Onnet,1,35,39,90,99,0.28,1.26
APPM,Onnet,1,35,39,100,149,0.28,1.26
APPM,Onnet,1,35,39,150,199,0.28,1.26
APPM,Onnet,1,35,39,200,249,0.28,1.26
APPM,Onnet,1,35,39,250,299,0.28,1.26
APPM,Onnet,1,35,39,300,349,0.28,1.26
APPM,Onnet,1,35,39,350,399,0.28,1.26
APPM,Onnet,1,35,39,400,449,0.28,1.26
APPM,Onnet,1,35,39,450,499,0.28,1.26
APPM,Onnet,1,35,39,500,599,0.28,1.26
APPM,Onnet,1,35,39,600,699,0.28,1.26
APPM,Onnet,1,35,39,700,799,0.28,1.26
APPM,Onnet,1,35,39,800,899,0.28,1.26
APPM,Onnet,1,35,39,900,999,0.28,1.26
APPM,Onnet,1,35,39,1000,1499,0.28,1.26
APPM,Onnet,1,35,39,1500,1999,0.28,1.26
APPM,Onnet,1,35,39,2000,,0.28,1.26
,,,,,,,,
APPM,Onnet,1,40,44,0,4,0.34,1.26
APPM,Onnet,1,40,44,5,9,0.34,1.26
APPM,Onnet,1,40,44,10,14,0.34,1.26
APPM,Onnet,1,40,44,15,19,0.34,1.26
APPM,Onnet,1,40,44,20,24,0.34,1.26
APPM,Onnet,1,40,44,25,29,0.31,1.26
APPM,Onnet,1,40,44,30,39,0.31,1.26
APPM,Onnet,1,40,44,40,49,0.31,1.26
APPM,Onnet,1,40,44,50,59,0.28,1.26
APPM,Onnet,1,40,44,60,69,0.28,1.26
APPM,Onnet,1,40,44,70,79,0.28,1.26
APPM,Onnet,1,40,44,80,89,0.28,1.26
APPM,Onnet,1,40,44,90,99,0.28,1.26
APPM,Onnet,1,40,44,100,149,0.28,1.26
APPM,Onnet,1,40,44,150,199,0.28,1.26
APPM,Onnet,1,40,44,200,249,0.28,1.26
APPM,Onnet,1,40,44,250,299,0.28,1.26
APPM,Onnet,1,40,44,300,349,0.28,1.26
APPM,Onnet,1,40,44,350,399,0.28,1.26
APPM,Onnet,1,40,44,400,449,0.28,1.26
APPM,Onnet,1,40,44,450,499,0.28,1.26
APPM,Onnet,1,40,44,500,599,0.28,1.26
APPM,Onnet,1,40,44,600,699,0.28,1.26
APPM,Onnet,1,40,44,700,799,0.28,1.26
APPM,Onnet,1,40,44,800,899,0.28,1.26
APPM,Onnet,1,40,44,900,999,0.28,1.26
APPM,Onnet,1,40,44,1000,1499,0.28,1.26
APPM,Onnet,1,40,44,1500,1999,0.28,1.26
APPM,Onnet,1,40,44,2000,,0.28,1.26
,,,,,,,,
APPM,Onnet,1,45,49,0,4,0.34,1.26
APPM,Onnet,1,45,49,5,9,0.34,1.26
APPM,Onnet,1,45,49,10,14,0.34,1.26
APPM,Onnet,1,45,49,15,19,0.34,1.26
APPM,Onnet,1,45,49,20,24,0.34,1.26
APPM,Onnet,1,45,49,25,29,0.31,1.26
APPM,Onnet,1,45,49,30,39,0.31,1.26
APPM,Onnet,1,45,49,40,49,0.31,1.26
APPM,Onnet,1,45,49,50,59,0.28,1.26
APPM,Onnet,1,45,49,60,69,0.28,1.26
APPM,Onnet,1,45,49,70,79,0.28,1.26
APPM,Onnet,1,45,49,80,89,0.28,1.26
APPM,Onnet,1,45,49,90,99,0.28,1.26
APPM,Onnet,1,45,49,100,149,0.28,1.26
APPM,Onnet,1,45,49,150,199,0.28,1.26
APPM,Onnet,1,45,49,200,249,0.28,1.26
APPM,Onnet,1,45,49,250,299,0.28,1.26
APPM,Onnet,1,45,49,300,349,0.28,1.26
APPM,Onnet,1,45,49,350,399,0.28,1.26
APPM,Onnet,1,45,49,400,449,0.28,1.26
APPM,Onnet,1,45,49,450,499,0.28,1.26
APPM,Onnet,1,45,49,500,599,0.28,1.26
APPM,Onnet,1,45,49,600,699,0.28,1.26
APPM,Onnet,1,45,49,700,799,0.28,1.26
APPM,Onnet,1,45,49,800,899,0.28,1.26
APPM,Onnet,1,45,49,900,999,0.28,1.26
APPM,Onnet,1,45,49,1000,1499,0.28,1.26
APPM,Onnet,1,45,49,1500,1999,0.28,1.26
APPM,Onnet,1,45,49,2000,,0.28,1.26
,,,,,,,,
APPM,Onnet,1,50,59,0,4,0.33,1.26
APPM,Onnet,1,50,59,5,9,0.33,1.26
APPM,Onnet,1,50,59,10,14,0.33,1.26
APPM,Onnet,1,50,59,15,19,0.33,1.26
APPM,Onnet,1,50,59,20,24,0.33,1.26
APPM,Onnet,1,50,59,25,29,0.3,1.26
APPM,Onnet,1,50,59,30,39,0.3,1.26
APPM,Onnet,1,50,59,40,49,0.3,1.26
APPM,Onnet,1,50,59,50,59,0.27,1.26
APPM,Onnet,1,50,59,60,69,0.27,1.26
APPM,Onnet,1,50,59,70,79,0.27,1.26
APPM,Onnet,1,50,59,80,89,0.27,1.26
APPM,Onnet,1,50,59,90,99,0.27,1.26
APPM,Onnet,1,50,59,100,149,0.27,1.26
APPM,Onnet,1,50,59,150,199,0.27,1.26
APPM,Onnet,1,50,59,200,249,0.27,1.26
APPM,Onnet,1,50,59,250,299,0.27,1.26
APPM,Onnet,1,50,59,300,349,0.27,1.26
APPM,Onnet,1,50,59,350,399,0.27,1.26
APPM,Onnet,1,50,59,400,449,0.27,1.26
APPM,Onnet,1,50,59,450,499,0.27,1.26
APPM,Onnet,1,50,59,500,599,0.27,1.26
APPM,Onnet,1,50,59,600,699,0.27,1.26
APPM,Onnet,1,50,59,700,799,0.27,1.26
APPM,Onnet,1,50,59,800,899,0.27,1.26
APPM,Onnet,1,50,59,900,999,0.27,1.26
APPM,Onnet,1,50,59,1000,1499,0.27,1.26
APPM,Onnet,1,50,59,1500,1999,0.27,1.26
APPM,Onnet,1,50,59,2000,,0.27,1.26
,,,,,,,,
APPM,Onnet,1,60,69,0,4,0.33,1.26
APPM,Onnet,1,60,69,5,9,0.33,1.26
APPM,Onnet,1,60,69,10,14,0.33,1.26
APPM,Onnet,1,60,69,15,19,0.33,1.26
APPM,Onnet,1,60,69,20,24,0.33,1.26
APPM,Onnet,1,60,69,25,29,0.3,1.26
APPM,Onnet,1,60,69,30,39,0.3,1.26
APPM,Onnet,1,60,69,40,49,0.3,1.26
APPM,Onnet,1,60,69,50,59,0.27,1.26
APPM,Onnet,1,60,69,60,69,0.27,1.26
APPM,Onnet,1,60,69,70,79,0.27,1.26
APPM,Onnet,1,60,69,80,89,0.27,1.26
APPM,Onnet,1,60,69,90,99,0.27,1.26
APPM,Onnet,1,60,69,100,149,0.27,1.26
APPM,Onnet,1,60,69,150,199,0.27,1.26
APPM,Onnet,1,60,69,200,249,0.27,1.26
APPM,Onnet,1,60,69,250,299,0.27,1.26
APPM,Onnet,1,60,69,300,349,0.27,1.26
APPM,Onnet,1,60,69,350,399,0.27,1.26
APPM,Onnet,1,60,69,400,449,0.27,1.26
APPM,Onnet,1,60,69,450,499,0.27,1.26
APPM,Onnet,1,60,69,500,599,0.27,1.26
APPM,Onnet,1,60,69,600,699,0.27,1.26
APPM,Onnet,1,60,69,700,799,0.27,1.26
APPM,Onnet,1,60,69,800,899,0.27,1.26
APPM,Onnet,1,60,69,900,999,0.27,1.26
APPM,Onnet,1,60,69,1000,1499,0.27,1.26
APPM,Onnet,1,60,69,1500,1999,0.27,1.26
APPM,Onnet,1,60,69,2000,,0.27,1.26
,,,,,,,,
APPM,Onnet,1,70,79,0,4,0.33,1.26
APPM,Onnet,1,70,79,5,9,0.33,1.26
APPM,Onnet,1,70,79,10,14,0.33,1.26
APPM,Onnet,1,70,79,15,19,0.33,1.26
APPM,Onnet,1,70,79,20,24,0.33,1.26
APPM,Onnet,1,70,79,25,29,0.3,1.26
APPM,Onnet,1,70,79,30,39,0.3,1.26
APPM,Onnet,1,70,79,40,49,0.3,1.26
APPM,Onnet,1,70,79,50,59,0.27,1.26
APPM,Onnet,1,70,79,60,69,0.27,1.26
APPM,Onnet,1,70,79,70,79,0.27,1.26
APPM,Onnet,1,70,79,80,89,0.27,1.26
APPM,Onnet,1,70,79,90,99,0.27,1.26
APPM,Onnet,1,70,79,100,149,0.27,1.26
APPM,Onnet,1,70,79,150,199,0.27,1.26
APPM,Onnet,1,70,79,200,249,0.27,1.26
APPM,Onnet,1,70,79,250,299,0.27,1.26
APPM,Onnet,1,70,79,300,349,0.27,1.26
APPM,Onnet,1,70,79,350,399,0.27,1.26
APPM,Onnet,1,70,79,400,449,0.27,1.26
APPM,Onnet,1,70,79,450,499,0.27,1.26
APPM,Onnet,1,70,79,500,599,0.27,1.26
APPM,Onnet,1,70,79,600,699,0.27,1.26
APPM,Onnet,1,70,79,700,799,0.27,1.26
APPM,Onnet,1,70,79,800,899,0.27,1.26
APPM,Onnet,1,70,79,900,999,0.27,1.26
APPM,Onnet,1,70,79,1000,1499,0.27,1.26
APPM,Onnet,1,70,79,1500,1999,0.27,1.26
APPM,Onnet,1,70,79,2000,,0.27,1.26
,,,,,,,,
APPM,Onnet,1,80,89,0,4,0.33,1.26
APPM,Onnet,1,80,89,5,9,0.33,1.26
APPM,Onnet,1,80,89,10,14,0.33,1.26
APPM,Onnet,1,80,89,15,19,0.33,1.26
APPM,Onnet,1,80,89,20,24,0.33,1.26
APPM,Onnet,1,80,89,25,29,0.3,1.26
APPM,Onnet,1,80,89,30,39,0.3,1.26
APPM,Onnet,1,80,89,40,49,0.3,1.26
APPM,Onnet,1,80,89,50,59,0.27,1.26
APPM,Onnet,1,80,89,60,69,0.27,1.26
APPM,Onnet,1,80,89,70,79,0.27,1.26
APPM,Onnet,1,80,89,80,89,0.27,1.26
APPM,Onnet,1,80,89,90,99,0.27,1.26
APPM,Onnet,1,80,89,100,149,0.27,1.26
APPM,Onnet,1,80,89,150,199,0.27,1.26
APPM,Onnet,1,80,89,200,249,0.27,1.26
APPM,Onnet,1,80,89,250,299,0.27,1.26
APPM,Onnet,1,80,89,300,349,0.27,1.26
APPM,Onnet,1,80,89,350,399,0.27,1.26
APPM,Onnet,1,80,89,400,449,0.27,1.26
APPM,Onnet,1,80,89,450,499,0.27,1.26
APPM,Onnet,1,80,89,500,599,0.27,1.26
APPM,Onnet,1,80,89,600,699,0.27,1.26
APPM,Onnet,1,80,89,700,799,0.27,1.26
APPM,Onnet,1,80,89,800,899,0.27,1.26
APPM,Onnet,1,80,89,900,999,0.27,1.26
APPM,Onnet,1,80,89,1000,1499,0.27,1.26
APPM,Onnet,1,80,89,1500,1999,0.27,1.26
APPM,Onnet,1,80,89,2000,,0.27,1.26
,,,,,,,,
APPM,Onnet,1,90,99,0,4,0.33,1.26
APPM,Onnet,1,90,99,5,9,0.33,1.26
APPM,Onnet,1,90,99,10,14,0.33,1.26
APPM,Onnet,1,90,99,15,19,0.33,1.26
APPM,Onnet,1,90,99,20,24,0.33,1.26
APPM,Onnet,1,90,99,25,29,0.3,1.26
APPM,Onnet,1,90,99,30,39,0.3,1.26
APPM,Onnet,1,90,99,40,49,0.3,1.26
APPM,Onnet,1,90,99,50,59,0.27,1.26
APPM,Onnet,1,90,99,60,69,0.27,1.26
APPM,Onnet,1,90,99,70,79,0.27,1.26
APPM,Onnet,1,90,99,80,89,0.27,1.26
APPM,Onnet,1,90,99,90,99,0.27,1.26
APPM,Onnet,1,90,99,100,149,0.27,1.26
APPM,Onnet,1,90,99,150,199,0.27,1.26
APPM,Onnet,1,90,99,200,249,0.27,1.26
APPM,Onnet,1,90,99,250,299,0.27,1.26
APPM,Onnet,1,90,99,300,349,0.27,1.26
APPM,Onnet,1,90,99,350,399,0.27,1.26
APPM,Onnet,1,90,99,400,449,0.27,1.26
APPM,Onnet,1,90,99,450,499,0.27,1.26
APPM,Onnet,1,90,99,500,599,0.27,1.26
APPM,Onnet,1,90,99,600,699,0.27,1.26
APPM,Onnet,1,90,99,700,799,0.27,1.26
APPM,Onnet,1,90,99,800,899,0.27,1.26
APPM,Onnet,1,90,99,900,999,0.27,1.26
APPM,Onnet,1,90,99,1000,1499,0.27,1.26
APPM,Onnet,1,90,99,1500,1999,0.27,1.26
APPM,Onnet,1,90,99,2000,,0.27,1.26
,,,,,,,,
APPM,Onnet,1,100,149,0,4,0.3,1.26
APPM,Onnet,1,100,149,5,9,0.3,1.26
APPM,Onnet,1,100,149,10,14,0.3,1.26
APPM,Onnet,1,100,149,15,19,0.3,1.26
APPM,Onnet,1,100,149,20,24,0.3,1.26
APPM,Onnet,1,100,149,25,29,0.27,1.26
APPM,Onnet,1,100,149,30,39,0.27,1.26
APPM,Onnet,1,100,149,40,49,0.27,1.26
APPM,Onnet,1,100,149,50,59,0.25,1.26
APPM,Onnet,1,100,149,60,69,0.25,1.26
APPM,Onnet,1,100,149,70,79,0.25,1.26
APPM,Onnet,1,100,149,80,89,0.25,1.26
APPM,Onnet,1,100,149,90,99,0.25,1.26
APPM,Onnet,1,100,149,100,149,0.25,1.26
APPM,Onnet,1,100,149,150,199,0.25,1.26
APPM,Onnet,1,100,149,200,249,0.25,1.26
APPM,Onnet,1,100,149,250,299,0.25,1.26
APPM,Onnet,1,100,149,300,349,0.25,1.26
APPM,Onnet,1,100,149,350,399,0.25,1.26
APPM,Onnet,1,100,149,400,449,0.25,1.26
APPM,Onnet,1,100,149,450,499,0.25,1.26
APPM,Onnet,1,100,149,500,599,0.25,1.26
APPM,Onnet,1,100,149,600,699,0.25,1.26
APPM,Onnet,1,100,149,700,799,0.25,1.26
APPM,Onnet,1,100,149,800,899,0.25,1.26
APPM,Onnet,1,100,149,900,999,0.25,1.26
APPM,Onnet,1,100,149,1000,1499,0.25,1.26
APPM,Onnet,1,100,149,1500,1999,0.25,1.26
APPM,Onnet,1,100,149,2000,,0.25,1.26
,,,,,,,,
APPM,Onnet,1,150,199,0,4,0.3,1.26
APPM,Onnet,1,150,199,5,9,0.3,1.26
APPM,Onnet,1,150,199,10,14,0.3,1.26
APPM,Onnet,1,150,199,15,19,0.3,1.26
APPM,Onnet,1,150,199,20,24,0.3,1.26
APPM,Onnet,1,150,199,25,29,0.27,1.26
APPM,Onnet,1,150,199,30,39,0.27,1.26
APPM,Onnet,1,150,199,40,49,0.27,1.26
APPM,Onnet,1,150,199,50,59,0.25,1.26
APPM,Onnet,1,150,199,60,69,0.25,1.26
APPM,Onnet,1,150,199,70,79,0.25,1.26
APPM,Onnet,1,150,199,80,89,0.25,1.26
APPM,Onnet,1,150,199,90,99,0.25,1.26
APPM,Onnet,1,150,199,100,149,0.25,1.26
APPM,Onnet,1,150,199,150,199,0.25,1.26
APPM,Onnet,1,150,199,200,249,0.25,1.26
APPM,Onnet,1,150,199,250,299,0.25,1.26
APPM,Onnet,1,150,199,300,349,0.25,1.26
APPM,Onnet,1,150,199,350,399,0.25,1.26
APPM,Onnet,1,150,199,400,449,0.25,1.26
APPM,Onnet,1,150,199,450,499,0.25,1.26
APPM,Onnet,1,150,199,500,599,0.25,1.26
APPM,Onnet,1,150,199,600,699,0.25,1.26
APPM,Onnet,1,150,199,700,799,0.25,1.26
APPM,Onnet,1,150,199,800,899,0.25,1.26
APPM,Onnet,1,150,199,900,999,0.25,1.26
APPM,Onnet,1,150,199,1000,1499,0.25,1.26
APPM,Onnet,1,150,199,1500,1999,0.25,1.26
APPM,Onnet,1,150,199,2000,,0.25,1.26
,,,,,,,,
APPM,Onnet,1,200,249,0,4,0.3,1.26
APPM,Onnet,1,200,249,5,9,0.3,1.26
APPM,Onnet,1,200,249,10,14,0.3,1.26
APPM,Onnet,1,200,249,15,19,0.3,1.26
APPM,Onnet,1,200,249,20,24,0.3,1.26
APPM,Onnet,1,200,249,25,29,0.27,1.26
APPM,Onnet,1,200,249,30,39,0.27,1.26
APPM,Onnet,1,200,249,40,49,0.27,1.26
APPM,Onnet,1,200,249,50,59,0.25,1.26
APPM,Onnet,1,200,249,60,69,0.25,1.26
APPM,Onnet,1,200,249,70,79,0.25,1.26
APPM,Onnet,1,200,249,80,89,0.25,1.26
APPM,Onnet,1,200,249,90,99,0.25,1.26
APPM,Onnet,1,200,249,100,149,0.25,1.26
